INFO         | Android emulator version 37.1.11.0 (build_id 15917651) (CL:N/A)
INFO         | Graphics backend: gfxstream
INFO         | Found systemPath C:\Users\萧龙\AppData\Local\Android\Sdk\system-images\android-34\google_apis\x86_64\
INFO         | Saving last run QEMU version for the AVD to 2
ERROR        | avdInfo_setLastRunQemuVersion: Could not write file: C:\Users\萧龙\.android\avd\..\avd\clawbox_test.avd\qemu-version.txt
INFO         | Increasing RAM size to 2560MB
INFO         | IPv4 server found: 211.140.13.188
INFO         | Ignore IPv6 address: a0d0:f879:9a01:0:a0d0:f879:9a01:0
INFO         | Ignore IPv6 address: a0d0:f879:9a01:0:a0d0:f879:9a01:0
INFO         | Ignore IPv6 address: a0d0:f879:9a01:0:a0d0:f879:9a01:0
INFO         | Ignore IPv6 address: 90d6:f879:9a01:0:a0d0:f879:9a01:0
INFO         | Ignore IPv6 address: 90d6:f879:9a01:0:a0d0:f879:9a01:0
INFO         | Ignore IPv6 address: 90d6:f879:9a01:0:a0d0:f879:9a01:0
INFO         | Ignore IPv6 address: 88dc:f879:9a01:0:a0d0:f879:9a01:0
INFO         | Ignore IPv6 address: 88dc:f879:9a01:0:a0d0:f879:9a01:0
INFO         | Ignore IPv6 address: 88dc:f879:9a01:0:a0d0:f879:9a01:0
INFO         | Ignore IPv6 address: a8e4:f879:9a01:0:a0d0:f879:9a01:0
INFO         | Ignore IPv6 address: a8e4:f879:9a01:0:a0d0:f879:9a01:0
INFO         | Ignore IPv6 address: a8e4:f879:9a01:0:a0d0:f879:9a01:0
INFO         | Ignore IPv6 address: 58f4:f879:9a01:0:a0d0:f879:9a01:0
INFO         | Ignore IPv6 address: 58f4:f879:9a01:0:a0d0:f879:9a01:0
INFO         | Ignore IPv6 address: 58f4:f879:9a01:0:a0d0:f879:9a01:0
INFO         | Ignore IPv6 address: 50fa:f879:9a01:0:a0d0:f879:9a01:0
INFO         | Ignore IPv6 address: 50fa:f879:9a01:0:a0d0:f879:9a01:0
INFO         | Ignore IPv6 address: 50fa:f879:9a01:0:a0d0:f879:9a01:0
INFO         | Guest GLES Driver: Auto (ext controls)
INFO         | emuglConfig_init: vulkan_mode_selected:swiftshader gles_mode_selected:swiftshader
INFO         | Checking system compatibility:
INFO         |   Checking: hasCompatibleHypervisor
INFO         |      Ok: Hypervisor compatibility to run avd: `clawbox_test` are met
INFO         |   Checking: hasSufficientSystem
INFO         |      Ok: System requirements to run avd: `clawbox_test` are met
INFO         |   Checking: hasSufficientHwGpu
INFO         |      Ok: Hardware GPU compatibility checks are not required
INFO         |   Checking: hasSufficientDiskSpace
INFO         |      Ok: Disk space requirements to run avd: `clawbox_test` are met
WARNING      | x86_64 emulation may not work without hardware acceleration!
